dataset_id,release_scope,raw_task,raw_unit,raw_label,verified_source_fact,proposed_shared_binary_target,binary_mapping_status,proposed_four_overlay_target,four_mapping_status,dataset_specific_target,default_mask_policy,alternative,decision_owner,implementation_gate
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,record_5class,recording,Normal,Explicit whole-record annotation,normal,exact,normal,lossy,record_5class.Normal,include,"Do not compare directly with event-unit metrics",Data Aggregation,ready_after_schema_approval
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,record_5class,recording,CAS,Continuous adventitious sounds at recording level,abnormal,exact,other_abnormal,lossy,record_5class.CAS,include_binary_only,"Do not assume CAS equals wheeze",Jingping,ready_binary_blocked_four
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,record_5class,recording,DAS,Discontinuous adventitious sounds at recording level,abnormal,exact,crackle,lossy,record_5class.DAS,include_binary_only,"Use only event labels for exact crackle overlay",Jingping,ready_binary_blocked_four
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,record_5class,recording,CAS & DAS,Both continuous and discontinuous sounds at recording level,abnormal,exact,both,lossy,record_5class.CAS_DAS,include_binary_only,"Use only event labels for exact both overlay",Jingping,ready_binary_blocked_four
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,record_5class,recording,Poor Quality,Signal-quality class rather than pathology,null,not_applicable,null,not_applicable,record_5class.Poor_Quality,exclude_shared_tasks,"Treat as dataset-specific class or QC exclusion",Jingping,blocked_poor_quality_policy
kauh_fraiwan,mendeley_v3,record_sound_type,recording,N,Workbook Sound type N,normal,exact,normal,exact,raw_sound_type.N,include,none,Data Aggregation,ready_after_schema_approval
kauh_fraiwan,mendeley_v3,record_sound_type,recording,E W,Workbook includes expiratory plus wheeze token,abnormal,exact,wheeze,lossy,raw_sound_type.E_W,include,"Preserve phase component E",Jingping,blocked_kauh_abbreviation_confirmation
kauh_fraiwan,mendeley_v3,record_sound_type,recording,I E W,Workbook includes inspiratory expiratory wheeze tokens,abnormal,exact,wheeze,lossy,raw_sound_type.I_E_W,include,"Preserve I/E phase components",Jingping,blocked_kauh_abbreviation_confirmation
kauh_fraiwan,mendeley_v3,record_sound_type,recording,C,Workbook sound token C,abnormal,exact,crackle,lossy,raw_sound_type.C,include,"Confirm C definition",Jingping,blocked_kauh_abbreviation_confirmation
kauh_fraiwan,mendeley_v3,record_sound_type,recording,Crep,Workbook token described as crepitations,abnormal,exact,crackle,lossy,raw_sound_type.Crep,include,"Keep distinct from C until confirmed",Jingping,blocked_kauh_abbreviation_confirmation
kauh_fraiwan,mendeley_v3,record_sound_type,recording,I C,Workbook includes inspiratory plus C token,abnormal,exact,crackle,lossy,raw_sound_type.I_C,include,"Preserve phase component I",Jingping,blocked_kauh_abbreviation_confirmation
kauh_fraiwan,mendeley_v3,record_sound_type,recording,I C E W,Workbook includes I/C/E/W tokens,abnormal,exact,both,lossy,raw_sound_type.I_C_E_W,include,"Confirm token semantics before overlay",Jingping,blocked_kauh_abbreviation_confirmation
kauh_fraiwan,mendeley_v3,record_sound_type,recording,I C B,Workbook raw token contains unresolved B,abnormal,lossy,null,unresolved,raw_sound_type.I_C_B,dataset_specific_only,"Map after B is source-confirmed",Jingping,blocked_kauh_abbreviation_confirmation
kauh_fraiwan,mendeley_v3,record_sound_type,recording,Bronchial,Workbook raw sound type Bronchial,abnormal,lossy,other_abnormal,lossy,raw_sound_type.Bronchial,include_other_abnormal,"Exclude from shared overlay",Jingping,blocked_other_abnormal_policy
kauh_fraiwan,mendeley_v3,patient_diagnosis,patient,Diagnosis column,Separate patient-level disease labels,not_applicable,not_applicable,not_applicable,not_applicable,patient_diagnosis.raw,dataset_specific_only,"Do not merge with sound/event targets",Jingping and Project Management,blocked_disease_scope
