,Dataset,Paper,Year,Feature / Input,Model,Task,Performance,Link
,ICBHI 2017 Respiratory Sound Dataset,Deep Neural Network for Respiratory Sound Classification in Wearable Devices Enabled by Patient Specific Model Tuning,2020,Mel Spectrogram,Hybrid CNN-RNN (CNN + Bi-LSTM),4-class respiratory sound classification,score of 66.31%   ,https://doi.org/10.1109/TBCAS.2020.2981172
,ICBHI 2017 Respiratory Sound Dataset,Respiratory Condition Detection Using Audio Analysis and Convolutional Neural Networks Optimized by Modified Metaheuristics,2024,Mel Spectrogram,CNN + AGbAEHO optimizer,"Binary Classification: Healthy vs Respiratory Conditions
5-class classification: Healthy, Bronchiectasis, Bronchiolitis, COPD, Pneumonia","Binary-class: accuracy of 0.933
5-class: accuracyn of 0.75",https://www.mdpi.com/2075-1680/13/5/335
,ICBHI 2017 Respiratory Sound Dataset,Audio analysis with convolutional neural networks and boosting algorithms tuned by metaheuristics for respiratory condition classification,2024,Mel spectrogram,a two-tier framework that integrates CNNs with XGBoost and AdaBoost models,"Binary-classification: Healthy & Respiratory Conditions
5-class classification: Healthy, Bronchiectasis, Bronchiolitis, COPD, Pneumonia","Binary-class: accuracy of 98.14%
5-class: accuracyn of 81.25%",https://doi.org/10.1016/j.jksuci.2024.102261
,ICBHI 2017 Respiratory Sound Dataset,Lung Sound Classification Using Co-Tuning and Stochastic Normalization,2022,Spectrogram,Transfer learning CNN (ResNet backbone) + Co-Tuning + Stochastic Normalization,4-class adventitious lung sound classification & 3-class respiratory disease classification,ALSC task   ResNet50 + Co-Tuning   accuracy of 58%,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9729496
,ICBHI 2017 Respiratory Sound Dataset,Convolutional neural networks based efficient approach for classification of lung diseases,2020,Spectrogram,pre-trained CNN + SVM   ;   pre-trained CNN transfer learning  ,4-class lung sound classification,CNN + SVM: accuracy of 65.5%   CNN transfer learning: accuracy of 63.09%,https://link.springer.com/article/10.1007/s13755-019-0091-3
,ICBHI 2017 Respiratory Sound Dataset,CNN-MoE Based Framework for Classification of Respiratory Anomalies and Lung Disease Detection,2021,"Log-Mel Spectrogram, Gammatone Filterbank (Gamma) Spectrogram, Stacked Mel-Frequency
Cepstral Coefficients, Rectangular Constant Q Transform Spectrogram",CNN-MoE(CNN + Mixture-of-Experts),"4-class respiratory anomaly classification（Crackle/Wheeze/Both/Normal）
3-class respiratory disease prediction（Healthy / Chronic / Non-chronic）",CNN-MoE results in improvement with a margin as large as 6% absolute in terms of ICBHI score,https://ieeexplore.ieee.org/document/9372748
,ICBHI 2017 Respiratory Sound Dataset,RespireNet: A Deep Neural Network for Accurately Detecting Abnormal Lung Sounds in Limited Data Setting,2021,Mel Spectrogram,RespireNet（ResNet-34 CNN）,"4-class classification: normal(n), crackle(c), wheeze(w), both(b)
2-class breathing cycle classification (normal, abnormal)","4-class classification: improve upon the state-of-art results by 2.2%
2-class classification: new SOTA of 77%",https://ieeexplore.ieee.org/abstract/document/9630091
,ICBHI 2017 Respiratory Sound Dataset,Early Detection of Chronic Obstructive Pulmonary Disease in Respiratory Audio Signals using CNN and LSTM Models,2024,MFCC,"CNN, LSTM",3-class classification: COPD / Non-COPD / Healthy,"LSTM: Accuracy: 0.9825
CNN: Accuracy: 0.9230",https://doi.org/10.1109/INC460750.2024.10648991
,ICBHI 2017 Respiratory Sound Dataset,Enhancing Medical Diagnosis with AI: A Focus on Respiratory Disease Detection,2023,MFCC,CNN,"6-class classification: Bronchiectasis, Bronchiolitis, COPD, Healthy, Pneumonia, URTI",Accuracy: 90%,https://journals.lww.com/ijcm/fulltext/2023/48050/social_isolation_and_mental_health_among_older.13.aspx
,ICBHI 2017 Respiratory Sound Dataset,Deep auscultation: Predicting respiratory anomalies and diseases via recurrent neural networks,2019,MFCC,RNN-based learning framework,"Anomoly-level prediction
Pathology-level prediction","ICBHI Score: 0.74,better than traditional method",https://ieeexplore.ieee.org/document/8787435
,ICBHI 2017 Respiratory Sound Dataset & King Abdullah University Hospital Dataset,Recognition of pulmonary diseases from lung sounds using convolutional neural networks and long short-term memory,2022,Spatial Features & Temporal Features,CNN + Bidirectional LSTM,"6-class classification: Normal, Asthma, Pneumonia, BRON, COPD, Heart failure",Accuracy = 99.62% Precision = 98.70% Sensitivity = 98.43% Specificity = 99.69% Cohen’s κ = 98.26% F1-score = 98.56%,https://doi.org/10.1007/s12652-021-03184-y
,ICBHI 2017 Respiratory Sound Dataset & RespiratoryDatabase@TR & Chest wall lung sound database,RDLINet: A Novel Lightweight Inception Network for Respiratory Disease Classification Using Lung Sounds,2023,Mel spectrogram,RDLINet: lightweight inception architecture,"Task1: 7-class respiratory diseases classification using all the datasets
Task2: 6-class respiratory diseases classification using one dataset
Task3: classify asthma and healthy subjects using 2 datasets","Task1: accuracy of 96%
Task2: accuracy of 99%
Task3: accuracy of 94%",https://ieeexplore.ieee.org/abstract/document/10174701
,ICBHI 2017 Respiratory Sound Dataset（Using variational Autoencoders to augment the data),Data augmentation using Variational Autoencoders for improvement of respiratory disease classification,2022,MFCC,"MLP, CNN, LSTM, ResNet-50, Efficient Net B0",6-classes classification,ResNet-50 achieves the best result,https://doi.org/10.1371/journal.pone.0266467
,Lung Sound Dataset (Kaggle),Deep learning and feature fusion-based lung sound recognition model to diagnoses the respiratory diseases,2024,Spatial Features,"Feature fusion framework using multiple pretrained CNN models 
(DenseNet201, InceptionResNetV2, MobileNetV2, ResNet101, EfficientNetB0) & a CNN classifier","8-class classification: Asthma, Bronchitis (BRON), COPD, 
Heart failure, Lung fibrosis, Normal, Pleural effusion, Pneumonia","Accuracy: 96.03%, Sensitivity: 96.53%, Specificity: 99.42%
Precision: 96.52%, F1-score: 96.50%",https://doi.org/10.1007/s00500-024-09866-x
,Saarbruecken Voice Database & Coswara & Virufy & Coughvid,Cascaded PFLANN Model for Intelligent Health Informatics in Detection of Respiratory Diseases from Speech Using Bio-inspired Computation,2024,"Linear Spectrum Statistical Features， MFCC, DFT, and GTCC",Cascaded Perceptual Functional Link Artificial Neural Network,Speech classification,Average accuracy of 0.94,https://ojs.istp-press.com/jait/article/view/435
,Self-collected dataset,Edge Computing System for Automatic Detection of Chronic Respiratory Diseases Using Audio Analysis,2025,MFCC & Chroma Features,1D Convolutional Neural Network (1D CNN),Binary classification: Healthy vs chronic respiratory disease,"Sensitivity: 90.0%, Specificity: 93.55%, Accuracy: 91.75%",https://doi.org/10.1007/s10916-025-02154-7
,Self-collected dataset,Automatic diagnosis of COVID-19 related respiratory diseases from speech,2023,"Spectral Features, Zero Crossing Rate, Root Mean Square Energy, MFCC","Logistic Regression, Support Vector Machine (Linear kernel), Support Vector Machine (RBF kernel)",Binary Classification: COVID-19 vs Healthy,"Best performance: Accuracy: 84%   AUC: 84%(Combined cough + breath dataset, Standard audio features, SVM with RBF kernel)",https://doi.org/10.1007/s11042-023-14923-y
,Self-collected dataset,SpeechSpiro: Lung Function Assessment from Speech Pattern as an Alternative to Spirometry for Mobile Health Tracking,2021,MFCC,Hybrid CNN-LSTM deep learning model,"Regression: prediction of lung function parameters (FEV1, FVC, FEV1/FVC)","Mean NRMSE of 12%, R² up to 0.76",https://doi.org/10.1109/EMBC46164.2021.9630077
,Self-collected dataset,Assessment of Chronic Pulmonary Disease Patients Using Biomarkers from Natural Speech Recorded by Mobile Devices,2019,Pause Features & Prosodic Features,Random Forest classifier,Binary classification: Pulmonary vs Healthy,"Accuracy: 65%, Precision: 61%, Recall: 65%, F1-score: 62%, LOOCV Accuracy: 68%",https://ieeexplore.ieee.org/abstract/document/8771043
,Self-collected dataset,Extraction of Voice Parameters from Continuous Running Speech for Pulmonary Disease Monitoring,2019,"Pause Time, Pause Frequency, Relative Shimmer, Shimmer apq3, Shimmer apq5, 
Shimmer apq11, Absolute Jitter, Relative Jitter",Random Forest classifier,Binary classification: Pulmonary vs Healthy,"Accuracy: 76.6%, Precision: 81.2%, Recall: 91.5%, F1-score: 86.0%",https://ieeexplore.ieee.org/abstract/document/8983115
,Self-collected dataset,Comparison of different Classification techniques for the detection of Speech affected due to Respiratory disorders,2022,"Speech Parameters (formants, pitch, jitter, shimmer, HNR, NHR), MFCC (12 coefficients), LPC (16 coefficients)","Decision Tree, K-NN, Logistic Regression, Linear Discriminant Analysis, Support Vector Machine",Binary classification: Healthy vs Respiratory disorder,"Speech parameters + LPC: Accuracy = 100%, Sensitivity = 100%, Specificity = 100%, AUC = 1
MFCC: Accuracy = 83%",https://doi.org/10.1088/1742-6596/2273/1/012013
,Self-collected dataset (COPD smartwatch audio dataset),PulmoListener: Continuous Acoustic Monitoring of Chronic Obstructive Pulmonary Disease in the Wild,2023,MFCC,3D CNN,Binary classification: COPD symptom severity: low vs high,"Sensitivity of 0.79 ± 0.03, specificity of 0.83 ± 0.05, F1 score of 0.70 ± 0.03",https://doi.org/10.1145/3610889
,Self-collected dataset (COPD),Speech-Based Support System to Supervise Chronic Obstructive Pulmonary Disease Patient Status,2021,"F0, Voice Quality Parameters, Pauses Ratio, Rhythm Feature, ",Random Forest,"Binary classification: COPD vs Non-COPD
4-class classification: Discern between different COPD degrees",Accuracy of 72.0% of COPD detection,https://doi.org/10.3390/app11177999
,Self-collected dataset (COPD),Phoneme-Aware Acoustic Analysis of Natural Speech for Lung Function Assessment,2025,"Phonation features (Jitter, Shimmer), Prosodic features (Fundamental frequency, Formants), MFCC",Correlation analysis,Lung function estimation,"MFCC6 for the
phoneme /l/ exhibited the strongest negative correlation for
both FEV1 (r = -0.81, p < .01) and FVC (r = -0.95,p < .001)",https://doi.org/10.1109/ICASSP49660.2025.10888421
,Self-collected dataset (COVID-19 cough),Analysis of COVID-19 Resulting Cough Using Formants and Automatic Speech Recognition System,2023,"MFCC, pitch (F0), formants (F1–F4)",GMM-HMM based Automatic Speech Recognition (ASR),Binary Classification: COVID-19 vs Healthy,"Healthy cough: Recognition Rate: 93.33%
COVID-19 cough: Recognition Rate: 86.66%",https://doi.org/10.1016/j.jvoice.2021.05.015
,Virufy,Toward AI-Driven Cough Sound Analysis for Respiratory Disease Diagnosis,2025,MFCC & Spectrogram,"CNN, CNN-SVM hybrid, Transfer Learning models",Binary Classification: COVID-19 vs Healthy,Best validation accuracy: 99.55% – 100%,https://ieeexplore.ieee.org/abstract/document/11008601
,Virufy,A study of using cough sounds and deep neural networks for the early detection of Covid-19,2022,Time-domain & Frequency-domain features(33 in total),Deep Neural Network (DNN),Binary Classification: COVID-19 vs Healthy,"Time-domain: accuracy: 89.2%
Frequency-domain: accuracy: 97.5%
Mixed-domain: accuracy: 93.8%",https://www.sciencedirect.com/science/article/pii/S2667099222000019
,WearCOPD v2 dataset,Utilizing Speech as a Biosignal for Monitoring Respiratory Health and Beyond,2025,"MFCC, Phonation features, Prosodic features, Spectral features",3D Convolutional Neural Network,"COPD symptom severity classification, Lung function estimation, Forecasting future symptom severity","Symptom severity classification: Sensitivity: 0.79 ± 0.03, Specificity: 0.83 ± 0.05
Forecasting symptoms (up to 4 days ahead): Sensitivity: 0.75 ± 0.02, Specificity: 0.74 ± 0.07",https://doi.org/10.1145/3714394.3750551
sleep apnea,PPG sleep dataset collected from 92 subjects using wearable smart bracelets,Multitask Multiattention Residual Shrinkage Convolutional Neural Network for Sleep Apnea Detection Based on Wearable Bracelet Photoplethysmography,2022,Photoplethysmography (PPG) -- Pulse Rate Variability (PRV) signals,1D-MMResSNet + Cost-Sensitive Classifier,Binary classification: Normal vs Sleep Apnea,"Segment-level: Accuracy: 81.82% Sensitivity: 70.27% Specificity: 85.81%
Individual-level: Accuracy: 95.65% Sensitivity: 88.89% Specificity: 97.30%",https://doi.org/10.1109/JIOT.2022.3195777
sleep apnea,Apnea-ECG,Multiscale entropy analysis of single lead ECG and ECG derived respiration for AI based prediction of sleep apnea events,2024,"Single-lead ECG, ECG rate, ECG-derived respiration","Multiscale entropy feature extraction + ML (DT, RF, SVM, AdaBoost, Voting, Stacking with MLP)",Binary classification: Apnea vs Non-Apnea,Best Accuracy: 74.3%,https://doi.org/10.1016/j.bspc.2023.105444
sleep apnea,Clinical smartwatch + PSG dataset (20 subjects),ApneaDetector: Detecting Sleep Apnea with Smartwatches,2021,Smartwatch accelerometer (multi-axis motion data),"Feature engineering(TV filter, ADF test) + classical ML (DT, NB, SVM, RF, AdaBoost)",Binary classification: apnea/hypopnea vs normal sleep,"Precision: 0.9674, Recall: 0.9625, F1-score: 0.9649",https://doi.org/10.1145/3463514
sleep apnea,"STAGES, TBI, Health, MESA",A Deep Transfer Learning Approach for Sleep Stage Classification and Sleep Apnea Detection Using Wrist-Worn Consumer Sleep Technologies,2024,Raw ACC(accelerate) + PPG signals (wrist-worn devices),Deep CNN-based dual-stream Res-U-Net with transfer learning + auxiliary task (sleep stage),"(1) Sleep stage classification — 4-class classification: Wake / Light / Deep / REM
(2) Sleep apnea detection — binary classification","κ = 0.57, ρ = 0.62 (external wearable dataset)",https://ieeexplore.ieee.org/abstract/document/10474138
sleep apnea,Apnea-ECG,A Multi-Sensor Based Automatic Sleep Apnea Detection System for Adults Using Neural Network Inference on FPGA,2022,Single-channel ECG + SpO2,"Multi-sensor feedforward neural network (FNN), 3 hidden layers (8-6-4), ReLU hidden layers, 
sigmoid output, ADAM optimizer, MSE loss; 15% weight/neuron pruning; fixed-point quantization; FPGA inference with shifter-based low-power design",Binary classification: Sleep Apnea vs Normal,"Accuracy 87.41%, Sensitivity 93%, Precision 89%, Recall 88%, F1-score 89%",10.1109/MEMEA54994.2022.9856509
sleep apnea,MIT-BIH Polysomnographic Database,Machine Learning Assisted Wearable Wireless Device for Sleep Apnea Syndrome Diagnosis,2023,PPG signals + SpO2,Improved multivariant multiscale entropy + PRV feature extraction + random forest,Binary classification: Apnea vs Non-Apnea,"Best: Random Forest(Accuracy: 91.80%, Specificity: 89.93%, Sensitivity: 93.88%)",https://doi.org/10.3390/bios13040483
sleep apnea,Private wearable sensor dataset (PPG recordings from a wearable bracelet),Energy-Efficient Sleep Apnea Detection Using a Hyperdimensional Computing Framework Based on Wearable Bracelet Photoplethysmography,2024,PPG signals,1D-BlockLBP + Hyperdimensional Computing (HDC),"Binary classification: Normal vs Sleep Apnea
Per-individual classification：Severe vs. Non-severe","(1) Accuracy = 70.17%, Sensitivity = 54.32%, Specificity = 77.00%, F1-score = 52.34%
(2) Accuracy = 80.47%, Sensitivity = 66.00%, Specificity = 85.16%, F1-score = 64.43%",https://ieeexplore.ieee.org/abstract/document/10472636
sleep apnea,HealthBed + SOMNIA,Deep transfer learning for automated single-lead EEG sleep staging with channel and population mismatches,2024,Single-channel EEG,CNN + LSTM (TinySleepNet) with transfer learning (pre-training / scratch / fine-tuning),"5-class classification: Wake, N1, N2, N3, REM","κ = .83 (healthy), κ = .77 (insomnia), κ = .74 (OSA)",https://doi.org/10.3389/fphys.2023.1287342
sleep apnea,Self-collected sleep respiratory dataset(100*6 samples),Long-Term Sleep Respiratory Monitoring by Dual-Channel Flexible Wearable System and Deep Learning-Aided Analysis,2023,Dual-channel nasal respiratory signals(3000×2 data points per sample),1D CNN (4 conv layers + 4 max-pooling + FC + softmax) + EMD & DOST signal processing,Respiratory disease classification (6-class) + identity recognition (6-class),Classification accuracy: 96.67%; Identification accuracy: 93.67%,https://doi.org/10.1109/TIM.2023.3289535
sleep apnea,Apnea-ECG database + self-collected data from 18 adult volunteers,Airline Point-of-Care System on Seat Belt for Hybrid Physiological Signal Monitoring,2022,"ECG + ECG-derived features (RRI, RAMP, and EDR)",Feature-engineered LSTM-RNN,SAHS detection (binary classification),"Accuracy up to 84–85% on collected subjects;
Accurcay over 80% on Apnea-ECG",https://doi.org/10.3390/mi13111880
sleep apnea,Private wearable PPG dataset (92 subjects),Multiscale Bidirectional Temporal Convolutional Network for Sleep Apnea Detection Based on Wearable Photoplethysmography Bracelet,2024,One-minute PPI segments derived from PPG signals,1D-MsBiTCNet (multiscale CNN + bidirectional TCN + SE attention + RD + LA),Binary classification: Sleep Apnea vs Normal + Regression (AHI estimation),"Per-segment: Accuracy: 82.76%, Sensitivity: 71.58%, Specificity: 86.74%, F1 score: 0.6857, AUC: 0.8739
Per-recording: Accuracy: 97.83%, Sensitivity: 88.89%, Specificity: 100.00%, MAE: 5.44, PCC: 0.8984",https://doi.org/10.1109/JBHI.2023.3335658
sleep apnea,Self collected wrist-worn smartband dataset,Obstructive Sleep Apnoea Syndrome Screening Through Wrist-Worn Smartbands: A Machine-Learning Approach,2022,"Accelerometric data, photoplethysmography, sleep parameters (SE, TST, SFI, WASO, Naw, mLaw), HR, demographic features","Multi-layer Perceptron (MLP), Random Forest (RF), cascade two-stage classifiers","Binary classification (3 tasks): AHI <5 vs ≥5 (2-class); 
AHI <15 vs ≥15 (2-class); AHI <30 vs ≥30 (2-class)","MCC: 0.39 / 0.15 / 0.33; 
Sensitivity: 76.67% / 73.33% / 85.71%;",https://doi.org/10.2147/NSS.S352335
sleep apnea,SHHS + BSP datasets + Clinical data (N=84),"Belun Ring (Belun Sleep System BLS-100): Deep learning-facilitated 
wearable enables obstructive sleep apnea detection, apnea severity 
categorization, and sleep stage classification in patients suspected of 
obstructive sleep apnea",2023,"SpO2, Pulse rate, Accelerometry (PPG-derived signals)",ResNeXt CNN + SE modules (respiratory event detection); CNN + Transformer (sleep staging),"OSA detection (binary at AHI≥5/15/30); 
OSA severity classification (4-class); 
Sleep stage classification (3-class: Wake/NREM/REM)","Accuracy: 0.85–0.91 (OSA detection)
Sleep staging accuracy: Wake 0.88, NREM 0.82, REM 0.90",https://www.sciencedirect.com/science/article/pii/S2352721823000906
sleep apnea,Self collected dataset(25 patients PSG + bioZ),Portable Detection of Apnea and Hypopnea Events Using Bio-Impedance of the Chest and Deep Learning,2020,"Chest bio-impedance (bioZ), ECG, acceleration",Two-phase LSTM-based deep learning with balanced bootstrapping,Binary classification: Sleep Apnea vs Normal,"AUPRC: 46.9%, Sensitivity: 58.4%, Specificity: 76.2%, Accuracy: 72.8%",https://doi.org/10.1109/JBHI.2020.2967872
sleep apnea,"Self collected Sleep Care Kit (SCK) dataset (5 patients + 3 normal, 7 days)",Real-Time Sleep Apnea Diagnosis Method Using Wearable Device without External Sensors,2020,"respiration, SpO2, heartrate, 3-ACC","GNB; ANN (3 hidden layers, Adam, ReLU); KNN",6-class classification (0–5 levels) and binary classification (apnea vs normal),KNN achieves 95% accuracy with real-time (640 μs); ANN 92%; GNB 89%,https://ieeexplore.ieee.org/abstract/document/9156119
sleep apnea,"CFS, MESA, KHNMC","Respiratory Event Detection During Sleep Using
Electrocardiogram and Respiratory Related
Signals: Using Polysomnogram and
Patch-Type Wearable Device Data",2022,"ECG, respiratory signal","LDA, QDA, RF, MLP, SVM","Binary classification: Sleep Apnea vs Normal
Binary classification (AHI > 15 vs ≤ 15)
Regression (AHI estimation)","(1) Accuracy 83%, Cohen’s kappa 0.53
(2) Accuracy 87%, Cohen’s kappa 0.72
(3) Correlation coefficient 0.87 between estimated and reference AHI",https://doi.org/10.1109/JBHI.2021.3098312
sleep apnea,"CFS, MESA, KHNMC, PNDB, UCDDB, KHNMC-TREX","Robust Method for Screening Sleep Apnea With
Single-Lead ECG Using Deep Residual
Network: Evaluation With Open Database and
Patch-Type Wearable Device Data",2022,Single-lead ECG (heartbeat interval + EDR),"Deep Residual Networks (ResNet18, ResNet34, ResNet50)","(1) Binary classification: Sleep Apnea vs Normal
(2) Binary classification: AHI ≥ 15 vs < 15, 2-class","(1) Best model ResNet18: Cohen’s kappa = 0.57
(2): Cohen’s kappa = 0.71",https://doi.org/10.1109/JBHI.2022.3203560
sleep apnea,Apnea-ECG,Bare-bones based honey badger algorithm of CNN for Sleep Apnea detection,2024,ECG,CNN (LeNet-5 based 1D-CNN) + BBHBA,Binary classification: Sleep Apnea vs Normal,"Accuracy: 90.92%, Sensitivity: 91.24%, Specificity: 90.36%, F1: 92.76%",https://doi.org/10.1007/s10586-024-04309-6
sleep apnea,SOMNIA + HealthBed,Wearable monitoring of sleep-disordered breathing: estimation of the apnea–hypopnea index using wrist-worn reflective photoplethysmography,2020,"Wrist-worn reflective photoplethysmography (rPPG), accelerometer, derived HRV and respiratory features","Deep learning model (stacked convolutional blocks + dense layers; 
multi-feature sequence input including HRV, respiratory, activity, sleep stage probability)","Binary classification (RE-epoch vs non-RE epoch) 
AHI estimation 
OSA severity classification (4-class: none/mild/moderate/severe)","correlation = 0.61, estimation error = 3±10 events/h
ROC–AUC = 0.84/0.86/0.85 for mild/moderate/severe OSA
weighted Cohen’s kappa = 0.51",https://doi.org/10.1038/s41598-020-69935-7
sleep apnea,Clinical study dataset (8 subjects) + ISRUC PSG dataset (40 patients),At-home wireless sleep monitoring patches for the clinical assessment of sleep quality and sleep apnea,2023,"Multichannel physiological signals (EEG, EOG, EMG)",CNN-based model (sleep stage classification) + CNN+GRU (apnea detection),"Sleep stage classification (5-class: W, N1, N2, N3, REM) + 
Sleep apnea detection (binary classification)",Sleep scoring accuracy: 83.89%; Apnea detection accuracy: 88.52%,https://www.science.org/doi/full/10.1126/sciadv.adg9671
sleep apnea,Apnea-ECG,Efficient Deep Learning Based Hybrid Model to Detect Obstructive Sleep Apnea,2023,Single-lead ECG signals,MobileNet V1; MobileNet V1 + LSTM; MobileNet V1 + GRU (CNN + RNN hybrid),Binary classification: Sleep Apnea vs Normal,"MobileNet V1: 89.5% accuracy; 
MobileNet V1 + LSTM: 90% accuracy; 
MobileNet V1 + GRU: 90.29% accuracy",https://doi.org/10.3390/s23104692
COVID-19,COVID-19 Sounds,"COVID-19 Sounds: A Large-Scale Audio Dataset for
Digital Respiratory Screening",2021,"Breathing, cough, and voice audio recordings","SVM, VGGish (pre-trained and fine-tuned), OpenSMILE+SVM","(1) Binary classification: symptomatic vs asymptomatic
(2) Binary classification: COVID-19 positive vs COVID-19 negative","(1) ROC-AUC up to 0.75
(2) ROC-AUC up to 0.71",https://openreview.net/forum?id=9KArJb4r5ZQ
COVID-19,COVID-19 Sounds App dataset,Uncertainty-Aware COVID-19 Detection from Imbalanced Sound Data,2021,"Breathing, cough, and speech audio & Mel-spectrograms from three modalities",Deep ensemble CNN (VGGish + dense); balanced bagging; uncertainty via ensemble disagreement,Binary classification: COVID-19 vs healthy,AUC 0.74 (up to 0.85 with uncertainty filtering); sensitivity 0.68; specificity 0.69,https://arxiv.org/abs/2104.02005
tuberculosis,Brooklyn + Wallacedene (combined TB cough dataset),TB or not TB? Acoustic cough analysis for tuberculosis classification,2022,"Audio (acoustic cough signals) & Mel-spectrogram (best), MFCC, linear filter-bank energies","Logistic Regression; BiLSTM; BiLSTM with Attention; Sequential Forward Selection (SFS); 
GE2E loss; Neural Style Transfer",Binary classification: TB vs non-TB,"Best AUC: 0.862 (BiLSTM + SFS)
Best generalisation: BiLSTM-Att + SFS",https://arxiv.org/abs/2209.00934
COVID-19,DiCOVA + AudioSet,COVID-19 Detection from Speech in Noisy Conditions,2023,Speech & Log-spectrogram of noisy/enhanced speech,U-Net + ResNet-18 (joint training),Binary classification: COVID-19 vs healthy,AUC 76.87%,https://ieeexplore.ieee.org/abstract/document/10094304
COPD,COPD speech dataset (11 COPD patients + 5 healthy controls),Detection of COPD Exacerbation from Speech: Comparison of Acoustic Features and Deep Learning Based Speech Breathing Models,2022,"Speech recordings (read speech, vowel)","(1) Statistical analysis (MANOVA)
(2) SVM (openSMILE features)
(3) LSTM-RNN breathing model",Binary classification: exacerbation vs stable,"SVM accuracy 75.12%, sensitivity 0.85",https://ieeexplore.ieee.org/document/9747785
