"paper","status","year","primary_url","repo_url","datasets","prediction_unit","native_labels","shared_attributes","label_harmonization","missing_label_policy","cooccurrence_modeling","joint_attribute_heads","consistency_loss","dataset_native_heads","cross_dataset_protocol","imbalance_tail_metrics","code_completeness","relevance","novelty_risk","open_gap"
"Respiratory sounds classification by fusing the time-domain and 2D spectral features (RSC-FTF)","Biomedical Signal Processing and Control","2025","https://www.sciencedirect.com/science/article/pii/S1746809425003015","https://github.com/deegy666/RSC-FTF","ICBHI; SPRSound reported","cycle/event by dataset","dataset-specific classes","none","paper reports both datasets; no verified joint taxonomy","none verified","not central","single classifier architecture","none","no","separate dataset-specific evaluations; no evidence of pooled joint training","aggregate paper metrics","repo pinned at fdd607ca658992f20648c5dc5ee33ed0ecf49a89; README names SPRSound but code currently exposes ICBHI loader only","application reference","low to partial","SPRSound reproduction path is incomplete in code"
"Stethoscope-Guided Supervised Contrastive Learning for Cross-Domain Adaptation","ICASSP 2024","2024","https://arxiv.org/abs/2312.09603","https://github.com/kaen2891/stethoscope-guided_supervised_contrastive_learning","ICBHI 2017","cycle","Normal; Crackle; Wheeze; Both","none","flat4","none","Both is native flat4 class","pathology classifier plus device/domain projections","none","no","within-ICBHI cross-device/domain adaptation","Sp/Se/Score; no shared-attribute tail protocol","official repo available","domain/shortcut component","partial overlap","no multi-dataset label learning; no unknown attributes"
"Quality Adaptive Angular Margin Learning for Respiratory Sound Classification","2026 preprint","2026","https://arxiv.org/abs/2606.11915","https://github.com/RSC-Toolkit/QLung","ICBHI train; SPRSound OOD","cycle/event mapped to flat4","Normal; Crackle; Wheeze; Both","none","flat4 mapping","none reported","Both retained as flat4","single quality-aware flat4 classifier","none","no","ICBHI source training and SPRSound OOD evaluation","quality/class-frequency angular margin; aggregate and class evidence in paper","official repo accessible; main training path is ICBHI-centric","imbalance/OOD component","partial overlap","no heterogeneous joint training; no unknown mask; no native target head"
"Empowering Multimodal Respiratory Sound Classification with Counterfactual Adversarial Debiasing for Out-of-Distribution Robustness (BTS-CARD)","ICASSP 2026; arXiv v2","2026","https://arxiv.org/abs/2510.22263","https://github.com/RSC-Toolkit/BTS-CARD","ICBHI source; SPRSound OOD","cycle/event mapped to flat4","Normal; Crackle; Wheeze; Both","none","flat4 mapping","none","Both retained as flat4","pathology classifier with metadata debiasing branches","none","no","metadata-assisted source training and OOD target evaluation","aggregate OOD metrics; metadata shortcut analysis","official repo pinned at a9982a0e658ee9bb1c5656470e18728b00685a08","metadata-shortcut component","partial overlap","not audio-only heterogeneous attributes; requires metadata supervision"
"Resp-Agent: An Agent-Based System for Multimodal Respiratory Sound Generation and Disease Diagnosis","ICLR 2026 / arXiv","2026","https://arxiv.org/abs/2602.15909","https://github.com/zpforlove/Resp-Agent","ICBHI; SPRSound; UK COVID; COUGHVID; KAUH; HF in pretraining","recording/disease sample","aggregated disease taxonomy and text","none","sources aggregated toward 16 disease classes","not event-level unknown handling","not crackle-wheeze co-occurrence","single disease classifier plus multimodal agents","none","no event-native head preservation","multi-source disease training/generation","disease-level aggregate metrics","official repo available","broad aggregation reference","low to partial","not respiratory event classification; no atomic label objective"
"Multi-class Semantic Segmentation on Heterogeneous Labels","PLOS ONE","2022","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0263656","https://osf.io/uyk79/","heterogeneously labeled segmentation datasets","pixel","dataset-specific sparse/incomplete labels","universal class availability mask","training uses only annotated/eligible class information","missing labels are not treated as background negatives","exclusive semantic classes","universal output; no respiratory attr+joint heads","mask-based partial supervision","dataset-specific evaluation","multi-dataset heterogeneous-label training","segmentation metrics","official OSF code/data","general method reference","method prior art","segmentation assumptions differ from co-occurring audio attributes and temporal units"
"Multi-Domain Semantic Segmentation With Overlapping Labels","WACV","2022","https://openaccess.thecvf.com/content/WACV2022/papers/Bevandic_Multi-Domain_Semantic_Segmentation_With_Overlapping_Labels_WACV_2022_paper.pdf","","multiple segmentation datasets","pixel","overlapping dataset taxonomies","universal semantic classes","dataset labels map to unions of universal classes","partial-label likelihood avoids forcing one unknown fine class negative","probability of a coarse label is sum over compatible fine labels","single universal classifier","marginal probability objective","dataset-specific evaluation mappings","joint multi-domain training","segmentation mIoU","paper-level implementation details; official repo not verified","general method reference","method prior art","pixel-exclusive latent class differs from multi-label respiratory co-occurrence"
"Marginal loss and exclusion loss for partially supervised multi-organ segmentation","Medical Image Analysis","2021","https://arxiv.org/abs/2007.03868","","multiple partially labeled medical segmentation datasets","voxel/pixel","organ labels with incomplete annotations","fine organ classes under coarse/background supervision","marginalization over fine classes","unannotated organs protected through marginal/exclusion formulation","mutually exclusive organ labels","single segmentation output","marginal and exclusion losses","dataset-specific supervision masks","joint partial-supervision training","segmentation Dice","paper methods available; official repo not verified","general consistency reference","method prior art","exclusive segmentation; not audio multi-label or native unit heads"
"Acknowledging the Unknown for Multi-Label Learning with Single Positive Labels","ECCV","2022","https://arxiv.org/abs/2203.16219","https://github.com/Correr-Zhou/SPML-AckTheUnknown","generic multi-label image datasets","image","single observed positive among many labels","multi-label outputs","no respiratory mapping","unannotated labels explicitly treated as unknown; entropy/pseudo-label strategies","generic label co-occurrence","single multi-label classifier","unknown-aware regularization; not attr-joint marginal consistency","not applicable","single-positive multi-label learning","mAP and class metrics","official repo available","general missing-label reference","method prior art","single-positive assumptions do not match HF interval annotation"
"Large-scale Multi-label Learning with Missing Labels","ICML","2014","https://proceedings.mlr.press/v32/yu14.html","","generic multi-label datasets","sample","incomplete multi-label matrix","generic labels","none","missing labels modeled rather than assigned negative","low-rank label structure","single multi-label predictor","missing-label ERM/regularization","not applicable","generic partially observed label learning","multi-label benchmark metrics","paper algorithms; no modern official pipeline expected","general missing-label reference","method prior art","no respiratory ontology/unit/cross-domain protocol"
"Distribution-Balanced Loss for Multi-Label Classification in Long-Tailed Datasets","CVPR","2021","https://arxiv.org/abs/2007.09654","","generic long-tail multi-label datasets","image/sample","multi-label long-tail classes","generic labels","none","assumes observed labels; does not solve unknown eligibility","models co-occurrence and negative dominance in reweighting","single multi-label classifier","none","not applicable","generic long-tail supervised learning","mAP and per-class long-tail groups","official implementation referenced by paper; not audited here","general imbalance reference","component prior art","does not handle heterogeneous semantics or missing labels"
